student_id,clgbranch,clgyear,clgsem,video_title,rating
S0130,CSE,3,1,Object-Oriented Programming in C++,3.3
S0131,CSE,4,2,Full Stack Web Development,3.1
S0132,CSE,1,2,Python Programming Fundamentals,4.4
S0133,CSE,1,2,Git and GitHub Essentials,4.1
S0134,CSE,1,1,Git and GitHub Essentials,3.0
S0135,CSE,1,1,Git and GitHub Essentials,2.8
S0136,CSE,1,1,Object-Oriented Programming in C++,4.2
S0137,CSE,3,1,Mobile App Development with Flutter,4.0
S0138,CSE,1,1,Deep Learning with TensorFlow,2.8
S0139,CSE,1,2,Mobile App Development with Flutter,4.2
S0140,CSE,4,2,Git and GitHub Essentials,2.7
S0141,CSE,2,1,Deep Learning with TensorFlow,4.6
S0142,CSE,1,1,Cybersecurity Basics,3.8
S0143,CSE,3,1,DevOps Crash Course,4.1
S0144,CSE,1,2,Object-Oriented Programming in C++,2.8
S0145,CSE,3,2,Introduction to Algorithms,3.6
S0146,CSE,3,2,Object-Oriented Programming in C++,3.6
S0147,CSE,3,2,Git and GitHub Essentials,4.6
S0148,CSE,1,2,Object-Oriented Programming in C++,3.1
S0149,CSE,4,2,Cybersecurity Basics,2.6
S0150,CSE,3,1,Object-Oriented Programming in C++,3.0
S0151,CSE,3,2,Deep Learning with TensorFlow,4.7
S0152,CSE,3,1,DevOps Crash Course,4.9
S0153,CSE,1,1,Full Stack Web Development,3.7
S0154,CSE,2,2,Object-Oriented Programming in C++,3.6
S0155,CSE,1,1,Deep Learning with TensorFlow,3.1
S0156,CSE,2,2,Mobile App Development with Flutter,3.4
S0157,CSE,3,2,DevOps Crash Course,3.3
S0158,CSE,4,2,Deep Learning with TensorFlow,3.1
S0159,CSE,1,1,Cybersecurity Basics,2.8
S0160,CSE,2,1,Git and GitHub Essentials,4.3
S0161,CSE,3,2,Advanced Java Concepts,4.6
S0162,CSE,3,1,Cybersecurity Basics,2.9
S0163,CSE,1,1,Deep Learning with TensorFlow,2.6
S0164,CSE,1,2,Introduction to Algorithms,4.1
S0165,CSE,4,1,Python Programming Fundamentals,3.9
S0166,CSE,4,2,Object-Oriented Programming in C++,3.4
S0167,CSE,1,2,Object-Oriented Programming in C++,2.8
S0168,CSE,1,2,Object-Oriented Programming in C++,2.7
S0169,CSE,1,1,Introduction to Algorithms,4.5
S0170,CSE,3,1,Git and GitHub Essentials,2.8
S0171,CSE,4,1,DevOps Crash Course,3.5
S0172,CSE,4,2,Mobile App Development with Flutter,5.0
S0173,CSE,3,1,Mobile App Development with Flutter,4.9
S0174,CSE,1,1,Git and GitHub Essentials,3.2
S0175,CSE,1,1,Git and GitHub Essentials,2.9
S0176,CSE,1,1,Python Programming Fundamentals,3.5
S0177,CSE,4,2,Python Programming Fundamentals,3.1
S0178,CSE,3,2,Advanced Java Concepts,4.2
S0179,CSE,3,1,Full Stack Web Development,2.8
S0180,CSE,2,1,Deep Learning with TensorFlow,4.6
S0181,CSE,1,1,Introduction to Algorithms,4.5
S0182,CSE,3,2,Advanced Java Concepts,3.7
S0183,CSE,3,2,Deep Learning with TensorFlow,3.8
S0184,CSE,4,2,Advanced Java Concepts,4.0
S0185,CSE,4,2,Mobile App Development with Flutter,3.1
S0186,CSE,1,1,Mobile App Development with Flutter,4.0
S0187,CSE,1,2,Mobile App Development with Flutter,2.6
S0188,CSE,2,2,DevOps Crash Course,4.1
S0189,CSE,3,1,Mobile App Development with Flutter,3.6
S0190,CSE,4,1,Object-Oriented Programming in C++,3.4
S0191,CSE,3,2,Advanced Java Concepts,4.6
S0192,CSE,3,2,Object-Oriented Programming in C++,3.2
S0193,CSE,4,1,Object-Oriented Programming in C++,2.7
S0194,CSE,3,2,Advanced Java Concepts,4.9
S0195,CSE,4,1,DevOps Crash Course,3.7
S0196,CSE,1,1,DevOps Crash Course,3.4
S0197,CSE,4,2,Python Programming Fundamentals,3.0
S0198,CSE,2,2,Object-Oriented Programming in C++,4.7
S0199,CSE,4,1,Python Programming Fundamentals,4.9
S0200,CSE,2,1,Deep Learning with TensorFlow,3.9
S0201,CSE,4,1,Git and GitHub Essentials,5.0
S0202,CSE,1,2,Advanced Java Concepts,4.1
S0203,CSE,2,2,Deep Learning with TensorFlow,3.8
S0204,CSE,3,2,Object-Oriented Programming in C++,5.0
S0205,CSE,2,2,DevOps Crash Course,2.9
S0206,CSE,2,1,Advanced Java Concepts,3.2
S0207,CSE,4,2,DevOps Crash Course,3.2
S0208,CSE,1,2,Deep Learning with TensorFlow,4.6
S0209,CSE,4,1,Object-Oriented Programming in C++,3.8
S0210,CSE,3,2,DevOps Crash Course,4.4
S0211,CSE,4,2,Cybersecurity Basics,4.7
S0212,CSE,2,2,Git and GitHub Essentials,4.6
S0213,CSE,4,1,Cybersecurity Basics,4.4
S0214,CSE,4,2,Introduction to Algorithms,3.7
S0215,CSE,1,1,DevOps Crash Course,4.9
S0216,CSE,3,1,Object-Oriented Programming in C++,2.7
S0217,CSE,4,1,Introduction to Algorithms,3.5
S0218,CSE,2,1,Object-Oriented Programming in C++,4.5
S0219,CSE,3,2,Mobile App Development with Flutter,4.2
S0220,CSE,1,2,DevOps Crash Course,3.5
S0221,CSE,3,2,DevOps Crash Course,2.6
S0222,CSE,1,1,Deep Learning with TensorFlow,5.0
S0223,CSE,1,2,Advanced Java Concepts,4.4
S0224,CSE,1,2,Introduction to Algorithms,4.2
S0225,CSE,1,1,Cybersecurity Basics,4.5
S0226,CSE,3,2,Cybersecurity Basics,3.6
S0227,CSE,2,2,Mobile App Development with Flutter,4.2
S0228,CSE,2,1,Introduction to Algorithms,2.7
S0229,CSE,4,1,Object-Oriented Programming in C++,4.8
S0230,CSE,2,1,Object-Oriented Programming in C++,4.1
S0231,CSE,4,2,Python Programming Fundamentals,4.7
S0232,CSE,4,2,DevOps Crash Course,2.9
S0233,CSE,4,2,Mobile App Development with Flutter,3.2
S0234,CSE,4,2,Object-Oriented Programming in C++,4.6
S0235,CSE,2,2,Object-Oriented Programming in C++,2.8
S0236,CSE,4,2,Mobile App Development with Flutter,3.2
S0237,CSE,3,1,Full Stack Web Development,3.2
S0238,CSE,1,2,Deep Learning with TensorFlow,4.4
S0239,CSE,2,2,Git and GitHub Essentials,4.1
S0240,CSE,3,1,Advanced Java Concepts,4.8
S0241,CSE,1,2,Object-Oriented Programming in C++,2.6
S0242,CSE,3,1,Advanced Java Concepts,4.8
S0243,CSE,3,2,Introduction to Algorithms,3.0
S0244,CSE,3,2,Introduction to Algorithms,3.1
S0245,CSE,4,2,Cybersecurity Basics,4.5
S0246,CSE,4,1,Introduction to Algorithms,4.4
S0247,CSE,2,2,DevOps Crash Course,3.4
S0248,CSE,4,1,Deep Learning with TensorFlow,3.8
S0249,CSE,4,2,Deep Learning with TensorFlow,4.0
S0250,CSE,3,1,Git and GitHub Essentials,3.7
S0251,CSE,3,1,Advanced Java Concepts,4.1
S0252,CSE,4,2,Full Stack Web Development,2.8
S0253,CSE,1,1,Deep Learning with TensorFlow,5.0
S0254,CSE,1,1,Git and GitHub Essentials,4.7
S0255,CSE,2,2,Object-Oriented Programming in C++,3.4
S0256,CSE,4,1,Full Stack Web Development,4.1
S0257,CSE,4,2,Deep Learning with TensorFlow,2.6
S0258,CSE,3,1,Object-Oriented Programming in C++,3.6
S0259,CSE,2,2,Advanced Java Concepts,5.0
S0260,CSE,3,2,Python Programming Fundamentals,3.5
S0261,CSE,2,1,Object-Oriented Programming in C++,2.7
S0262,CSE,2,1,Python Programming Fundamentals,4.5
S0263,CSE,2,1,Mobile App Development with Flutter,3.0
S0264,CSE,2,1,Git and GitHub Essentials,3.3
S0265,CSE,2,1,Deep Learning with TensorFlow,4.6
S0266,CSE,2,1,DevOps Crash Course,3.1
S0267,CSE,2,1,Python Programming Fundamentals,2.8
S0268,CSE,3,1,Mobile App Development with Flutter,3.3
S0269,CSE,2,2,Python Programming Fundamentals,2.8
S0270,CSE,4,1,Advanced Java Concepts,3.7
S0271,CSE,3,1,Object-Oriented Programming in C++,3.8
S0272,CSE,1,2,Object-Oriented Programming in C++,4.1
S0273,CSE,1,1,Object-Oriented Programming in C++,4.6
S0274,CSE,4,1,Object-Oriented Programming in C++,4.3
S0275,CSE,4,1,Advanced Java Concepts,3.3
S0276,CSE,2,1,Introduction to Algorithms,3.2
S0277,CSE,3,2,Mobile App Development with Flutter,3.8
S0278,CSE,4,2,Advanced Java Concepts,4.5
S0279,CSE,1,1,Full Stack Web Development,3.6
S0280,CSE,2,2,Cybersecurity Basics,4.6
S0281,CSE,4,2,Advanced Java Concepts,3.3
S0282,CSE,3,2,Cybersecurity Basics,4.9
S0283,CSE,4,1,Advanced Java Concepts,4.6
S0284,CSE,1,2,Advanced Java Concepts,4.4
S0285,CSE,3,1,DevOps Crash Course,2.6
S0286,CSE,3,1,Full Stack Web Development,3.4
S0287,CSE,4,1,Deep Learning with TensorFlow,4.0
S0288,CSE,3,1,Mobile App Development with Flutter,3.8
S0289,CSE,2,2,Git and GitHub Essentials,4.6
S0290,CSE,3,2,Advanced Java Concepts,4.4
S0291,CSE,2,2,DevOps Crash Course,4.9
S0292,CSE,1,2,Python Programming Fundamentals,3.0
S0293,CSE,3,2,Cybersecurity Basics,2.5
S0294,CSE,2,2,Advanced Java Concepts,2.9
S0295,CSE,1,1,DevOps Crash Course,3.0
S0296,CSE,4,2,Cybersecurity Basics,2.9
S0297,CSE,3,2,Mobile App Development with Flutter,4.0
S0298,CSE,1,1,Introduction to Algorithms,4.4
S0299,CSE,1,1,Deep Learning with TensorFlow,3.6
S0300,CSE,4,2,Mobile App Development with Flutter,3.6
S0301,CSE,3,1,DevOps Crash Course,2.8
S0302,CSE,4,1,Deep Learning with TensorFlow,4.2
S0303,CSE,4,2,Python Programming Fundamentals,3.1
S0304,CSE,1,1,Git and GitHub Essentials,3.3
S0305,CSE,2,1,Deep Learning with TensorFlow,3.2
S0306,CSE,1,1,Object-Oriented Programming in C++,4.4
S0307,CSE,2,1,Full Stack Web Development,3.8
S0308,CSE,2,2,Advanced Java Concepts,3.5
S0309,CSE,1,2,Python Programming Fundamentals,3.6
S0310,CSE,1,2,Mobile App Development with Flutter,3.6
S0311,CSE,4,2,Deep Learning with TensorFlow,2.8
S0312,CSE,1,2,Introduction to Algorithms,4.5
S0313,CSE,4,2,Advanced Java Concepts,3.6
S0314,CSE,1,1,Full Stack Web Development,4.0
S0315,CSE,1,2,Deep Learning with TensorFlow,4.4
S0316,CSE,2,2,Introduction to Algorithms,2.7
S0317,CSE,1,1,Cybersecurity Basics,3.4
S0318,CSE,2,1,Advanced Java Concepts,2.9
S0319,CSE,2,1,Mobile App Development with Flutter,2.9
S0320,CSE,1,1,Object-Oriented Programming in C++,3.7
S0321,CSE,4,2,Cybersecurity Basics,2.9
S0322,CSE,1,2,Object-Oriented Programming in C++,4.1
S0323,CSE,3,1,Cybersecurity Basics,3.8
S0324,CSE,3,2,Object-Oriented Programming in C++,2.6
S0325,CSE,3,2,Advanced Java Concepts,4.1
S0326,CSE,1,2,Object-Oriented Programming in C++,4.0
S0327,CSE,1,2,Mobile App Development with Flutter,4.1
S0328,CSE,3,2,DevOps Crash Course,2.9
S0329,CSE,1,2,Advanced Java Concepts,4.5
S0330,CSE,3,1,DevOps Crash Course,4.1
S0331,CSE,1,1,Object-Oriented Programming in C++,5.0
S0332,CSE,2,2,Cybersecurity Basics,4.8
S0333,CSE,4,2,Cybersecurity Basics,4.2
S0334,ECE,1,2,Analog Electronics,3.3
S0335,ECE,4,2,Control Systems Engineering,4.3
S0336,ECE,2,2,Analog Electronics,4.0
S0337,ECE,2,2,Control Systems Engineering,4.9
S0338,ECE,4,1,IoT for ECE,4.3
S0339,ECE,1,2,Antenna Theory,3.4
S0340,ECE,3,1,Antenna Theory,2.7
S0341,ECE,4,2,Digital Signal Processing,3.4
S0342,ECE,2,1,Microprocessors and Microcontrollers,4.9
S0343,ECE,4,1,Communication Systems,5.0
S0344,ECE,2,1,Control Systems Engineering,4.6
S0345,ECE,1,1,Microprocessors and Microcontrollers,4.7
S0346,ECE,2,2,VLSI Design Basics,2.9
S0347,ECE,2,2,Digital Signal Processing,3.5
S0348,ECE,2,2,IoT for ECE,3.2
S0349,ECE,4,1,Antenna Theory,3.1
S0350,ECE,4,1,Microprocessors and Microcontrollers,4.2
S0351,ECE,4,2,Control Systems Engineering,4.4
S0352,ECE,4,1,Communication Systems,4.5
S0353,ECE,2,2,Digital Signal Processing,4.1
S0354,ECE,3,1,Antenna Theory,4.6
S0355,ECE,3,1,VLSI Design Basics,3.2
S0356,ECE,2,2,Analog Electronics,4.9
S0357,ECE,2,2,Microprocessors and Microcontrollers,4.8
S0358,ECE,4,1,Embedded Systems Design,3.8
S0359,ECE,2,2,Analog Electronics,3.4
S0360,ECE,1,2,Analog Electronics,4.6
S0361,ECE,3,1,VLSI Design Basics,2.6
S0362,ECE,4,1,Wireless Communication,3.6
S0363,ECE,1,1,Digital Signal Processing,3.1
S0364,ECE,2,2,Analog Electronics,4.4
S0365,ECE,2,2,Analog Electronics,2.6
S0366,ECE,4,2,Analog Electronics,2.8
S0367,ECE,4,1,Antenna Theory,3.9
S0368,ECE,2,2,Embedded Systems Design,2.5
S0369,ECE,3,1,IoT for ECE,3.5
S0370,ECE,1,2,Analog Electronics,4.9
S0371,ECE,1,2,Wireless Communication,2.6
S0372,ECE,4,2,Control Systems Engineering,4.4
S0373,ECE,3,1,Microprocessors and Microcontrollers,3.1
S0374,ECE,1,2,VLSI Design Basics,2.6
S0375,ECE,3,1,Wireless Communication,5.0
S0376,ECE,4,1,VLSI Design Basics,2.7
S0377,ECE,4,1,Control Systems Engineering,3.0
S0378,ECE,2,1,Microprocessors and Microcontrollers,4.8
S0379,ECE,4,2,Control Systems Engineering,2.6
S0380,ECE,2,2,Microprocessors and Microcontrollers,4.7
S0381,ECE,1,2,Control Systems Engineering,2.8
S0382,ECE,3,2,Embedded Systems Design,4.4
S0383,ECE,4,2,VLSI Design Basics,3.7
S0384,ECE,4,2,Antenna Theory,3.2
S0385,ECE,1,2,Analog Electronics,3.6
S0386,ECE,2,2,Microprocessors and Microcontrollers,2.8
S0387,ECE,3,2,Control Systems Engineering,3.6
S0388,ECE,4,1,Wireless Communication,3.4
S0389,ECE,1,2,IoT for ECE,5.0
S0390,ECE,3,1,Analog Electronics,4.2
S0391,ECE,4,2,Antenna Theory,4.5
S0392,ECE,2,1,VLSI Design Basics,4.6
S0393,ECE,4,1,VLSI Design Basics,2.7
S0394,ECE,3,2,Embedded Systems Design,4.9
S0395,ECE,1,1,Wireless Communication,4.9
S0396,ECE,3,2,Analog Electronics,3.9
S0397,ECE,3,2,Microprocessors and Microcontrollers,4.1
S0398,ECE,2,1,Digital Signal Processing,4.3
S0399,ECE,4,2,Antenna Theory,2.8
S0400,ECE,3,2,Communication Systems,5.0
S0401,ECE,3,2,Communication Systems,2.8
S0402,ECE,1,2,VLSI Design Basics,4.7
S0403,ECE,4,1,Microprocessors and Microcontrollers,4.2
S0404,ECE,1,2,Control Systems Engineering,4.6
S0405,ECE,2,2,Antenna Theory,3.1
S0406,ECE,2,1,Communication Systems,4.5
S0407,ECE,1,2,Antenna Theory,3.9
S0408,ECE,4,1,IoT for ECE,4.7
S0409,ECE,1,2,Embedded Systems Design,5.0
S0410,ECE,4,2,Embedded Systems Design,4.6
S0411,ECE,1,1,Microprocessors and Microcontrollers,4.1
S0412,ECE,4,2,Antenna Theory,3.4
S0413,ECE,2,1,Embedded Systems Design,3.8
S0414,ECE,1,1,Antenna Theory,2.9
S0415,ECE,2,1,Microprocessors and Microcontrollers,4.8
S0416,ECE,2,2,Antenna Theory,4.7
S0417,ECE,1,2,Communication Systems,4.1
S0418,ECE,3,1,Control Systems Engineering,4.0
S0419,ECE,1,1,IoT for ECE,4.9
S0420,ECE,2,1,IoT for ECE,4.3
S0421,ECE,3,1,Digital Signal Processing,2.7
S0422,ECE,3,1,IoT for ECE,3.5
S0423,ECE,1,2,Antenna Theory,3.2
S0424,ECE,3,2,Communication Systems,4.5
S0425,ECE,4,2,Wireless Communication,2.7
S0426,ECE,1,1,Wireless Communication,3.5
S0427,ECE,4,1,Microprocessors and Microcontrollers,4.0
S0428,ECE,3,2,Microprocessors and Microcontrollers,4.9
S0429,ECE,2,2,Antenna Theory,3.9
S0430,ECE,3,1,Wireless Communication,2.8
S0431,ECE,4,1,VLSI Design Basics,2.7
S0432,ECE,3,2,IoT for ECE,3.5
S0433,ECE,2,2,IoT for ECE,4.3
S0434,ECE,2,1,Wireless Communication,5.0
S0435,ECE,4,2,Control Systems Engineering,3.7
S0436,ECE,1,2,Antenna Theory,3.6
S0437,ECE,2,1,IoT for ECE,3.4
S0438,ECE,1,2,Wireless Communication,4.0
S0439,ECE,4,2,Antenna Theory,2.5
S0440,ECE,1,2,VLSI Design Basics,4.7
S0441,ECE,3,2,Microprocessors and Microcontrollers,2.6
S0442,ECE,1,1,Microprocessors and Microcontrollers,3.9
S0443,ECE,1,2,Antenna Theory,3.6
S0444,ECE,3,1,VLSI Design Basics,4.9
S0445,ECE,4,2,Microprocessors and Microcontrollers,3.9
S0446,ECE,3,1,Communication Systems,4.0
S0447,ECE,4,1,Digital Signal Processing,2.6
S0448,ECE,3,2,Antenna Theory,3.6
S0449,ECE,2,2,IoT for ECE,3.3
S0450,ECE,4,2,IoT for ECE,3.3
S0451,ECE,4,2,Wireless Communication,4.5
S0452,ECE,3,2,Analog Electronics,4.9
S0453,ECE,3,1,IoT for ECE,3.7
S0454,ECE,2,1,IoT for ECE,3.7
S0455,ECE,4,1,Communication Systems,2.6
S0456,ECE,1,1,Digital Signal Processing,3.6
S0457,ECE,4,1,Embedded Systems Design,4.2
S0458,ECE,4,2,Digital Signal Processing,4.3
S0459,ECE,2,2,Wireless Communication,3.8
S0460,ECE,3,1,Wireless Communication,4.8
S0461,ECE,3,2,Control Systems Engineering,4.0
S0462,ECE,2,1,Control Systems Engineering,3.9
S0463,ECE,2,2,Control Systems Engineering,4.3
S0464,ECE,4,2,Wireless Communication,3.4
S0465,ECE,3,2,Analog Electronics,3.9
S0466,ECE,4,2,Microprocessors and Microcontrollers,4.9
S0467,ECE,2,2,Digital Signal Processing,3.2
S0468,ECE,1,2,Wireless Communication,4.1
S0469,ECE,4,1,Communication Systems,4.6
S0470,ECE,3,2,VLSI Design Basics,2.8
S0471,ECE,2,1,Digital Signal Processing,4.2
S0472,ECE,2,1,Digital Signal Processing,2.8
S0473,ECE,3,2,Analog Electronics,4.2
S0474,ECE,2,1,Antenna Theory,4.9
S0475,ECE,2,2,Wireless Communication,3.7
S0476,ECE,2,2,Microprocessors and Microcontrollers,3.2
S0477,ECE,1,1,IoT for ECE,3.1
S0478,ECE,1,1,Embedded Systems Design,4.7
S0479,ECE,2,1,Embedded Systems Design,4.5
S0480,ECE,2,2,Digital Signal Processing,2.5
S0481,ECE,1,2,Control Systems Engineering,3.6
S0482,ECE,4,1,Antenna Theory,3.7
S0483,ECE,2,1,Microprocessors and Microcontrollers,2.9
S0484,ECE,4,2,VLSI Design Basics,2.5
S0485,ECE,3,2,IoT for ECE,4.2
S0486,ECE,2,1,IoT for ECE,4.6
S0487,ECE,4,2,Antenna Theory,3.3
S0488,ECE,4,1,VLSI Design Basics,5.0
S0489,ECE,4,2,Communication Systems,2.5
S0490,ECE,4,1,Wireless Communication,4.4
S0491,ECE,3,2,IoT for ECE,4.3
S0492,ECE,1,2,Microprocessors and Microcontrollers,4.2
S0493,ECE,1,1,Wireless Communication,3.3
S0494,ECE,4,2,Analog Electronics,4.1
S0495,ECE,3,2,IoT for ECE,3.1
S0496,ECE,2,2,VLSI Design Basics,3.6
S0497,ECE,3,2,Antenna Theory,4.8
S0498,ECE,2,1,IoT for ECE,4.7
S0499,ECE,1,2,Antenna Theory,4.3
S0500,ECE,1,1,Digital Signal Processing,4.6
S0501,ECE,2,1,VLSI Design Basics,3.3
S0502,ECE,4,1,Communication Systems,4.3
S0503,ECE,4,1,Antenna Theory,3.6
S0504,ECE,1,2,VLSI Design Basics,3.8
S0505,ECE,4,1,Antenna Theory,3.7
S0506,ECE,3,1,Embedded Systems Design,3.1
S0507,ECE,1,1,IoT for ECE,2.7
S0508,ECE,4,2,Analog Electronics,3.9
S0509,ECE,1,1,Wireless Communication,2.6
S0510,ECE,4,1,VLSI Design Basics,4.4
S0511,ECE,4,2,Embedded Systems Design,3.6
S0512,ECE,4,2,Analog Electronics,4.2
S0513,ECE,2,2,Analog Electronics,2.9
S0514,ECE,4,1,Communication Systems,4.6
S0515,ECE,1,2,Wireless Communication,4.2
